fiveminstamp,datausage
2016-01-01 00:00:00,10136284
2016-01-01 00:05:00,8557681
2016-01-01 00:10:00,9429061
2016-01-01 00:15:00,8929962
2016-01-01 00:20:00,10468377
2016-01-01 00:25:00,8862277
2016-01-01 00:30:00,8890057
2016-01-01 00:35:00,7717559
2016-01-01 00:40:00,7179188
2016-01-01 00:45:00,7296139
2016-01-01 00:50:00,7961268
2016-01-01 00:55:00,8180290
2016-01-01 01:00:00,11996668
2016-01-01 01:05:00,9009506
2016-01-01 01:10:00,9890539
2016-01-01 01:15:00,6933180
2016-01-01 01:20:00,7175687
2016-01-01 01:25:00,8263781
2016-01-01 01:30:00,7445772
2016-01-01 01:35:00,8480847
2016-01-01 01:40:00,8219161
2016-01-01 01:45:00,7885539
2016-01-01 01:50:00,8116332
2016-01-01 01:55:00,7450320
2016-01-01 02:00:00,10570010
2016-01-01 02:05:00,9205080
2016-01-01 02:10:00,7393345
2016-01-01 02:15:00,6653871
2016-01-01 02:20:00,8073066
2016-01-01 02:25:00,8135764
2016-01-01 02:30:00,7739992
2016-01-01 02:35:00,7883389
2016-01-01 02:40:00,7806060
2016-01-01 02:45:00,7234360
2016-01-01 02:50:00,7412077
2016-01-01 02:55:00,8248596
2016-01-01 03:00:00,23915788
2016-01-01 03:05:00,6438515
2016-01-01 03:10:00,9375553
2016-01-01 03:15:00,7511768
2016-01-01 03:20:00,9865630
2016-01-01 03:25:00,7959143
2016-01-01 03:30:00,6259928
2016-01-01 03:35:00,7164136
2016-01-01 03:40:00,7632261
2016-01-01 03:45:00,7558044
2016-01-01 03:50:00,7281120
2016-01-01 03:55:00,7236847
2016-01-01 04:00:00,9263793
2016-01-01 04:05:00,6894827
2016-01-01 04:10:00,8245016
2016-01-01 04:15:00,7437186
2016-01-01 04:20:00,7917435
2016-01-01 04:25:00,7399376
2016-01-01 04:30:00,6611257
2016-01-01 04:35:00,7257824
2016-01-01 04:40:00,6875222
2016-01-01 04:45:00,6930814
2016-01-01 04:50:00,6479937
2016-01-01 04:55:00,8189626
2016-01-01 05:00:00,10262280
2016-01-01 05:05:00,8669299
2016-01-01 05:10:00,7992841
2016-01-01 05:15:00,8328348
2016-01-01 05:20:00,6804944
2016-01-01 05:25:00,8062899
2016-01-01 05:30:00,7814963
2016-01-01 05:35:00,8921094
2016-01-01 05:40:00,8468797
2016-01-01 05:45:00,7831229
2016-01-01 05:50:00,8740842
2016-01-01 05:55:00,7159717
2016-01-01 06:00:00,7701127
2016-01-01 06:05:00,8995761
2016-01-01 06:10:00,9353404
2016-01-01 06:15:00,7045514
2016-01-01 06:20:00,6337711
2016-01-01 06:25:00,9131584
2016-01-01 06:30:00,6679156
2016-01-01 06:35:00,5820834
2016-01-01 06:40:00,8149764
2016-01-01 06:45:00,8320353
2016-01-01 06:50:00,6597727
2016-01-01 06:55:00,8752262
2016-01-01 07:00:00,9491295
2016-01-01 07:05:00,7613729
2016-01-01 07:10:00,8469256
2016-01-01 07:15:00,6909425
2016-01-01 07:20:00,8632285
2016-01-01 07:25:00,7114520
2016-01-01 07:30:00,8204334
2016-01-01 07:35:00,7031302
2016-01-01 07:40:00,9096042
2016-01-01 07:45:00,7084960
2016-01-01 07:50:00,6550868
2016-01-01 07:55:00,7643304
2016-01-01 08:00:00,8019165
2016-01-01 08:05:00,6487924
2016-01-01 08:10:00,7426273
2016-01-01 08:15:00,6997669
2016-01-01 08:20:00,7334765
2016-01-01 08:25:00,7386764
2016-01-01 08:30:00,8217427
2016-01-01 08:35:00,6920200
2016-01-01 08:40:00,6572888
2016-01-01 08:45:00,7351857
2016-01-01 08:50:00,6643504
2016-01-01 08:55:00,8406091
2016-01-01 09:00:00,8609936
2016-01-01 09:05:00,7009144
2016-01-01 09:10:00,8386866
2016-01-01 09:15:00,7199892
2016-01-01 09:20:00,7704097
2016-01-01 09:25:00,7529846
2016-01-01 09:30:00,7591883
2016-01-01 09:35:00,8212648
2016-01-01 09:40:00,7119629
2016-01-01 09:45:00,8520812
2016-01-01 09:50:00,8568493
2016-01-01 09:55:00,6803017
2016-01-01 10:00:00,7781712
2016-01-01 10:05:00,8264702
2016-01-01 10:10:00,7841712
2016-01-01 10:15:00,7568774
2016-01-01 10:20:00,7383886
2016-01-01 10:25:00,9311529
2016-01-01 10:30:00,8477353
2016-01-01 10:35:00,7381335
2016-01-01 10:40:00,7533893
2016-01-01 10:45:00,9050433
2016-01-01 10:50:00,8178995
2016-01-01 10:55:00,10081295
2016-01-01 11:00:00,9517819
2016-01-01 11:05:00,7701692
2016-01-01 11:10:00,9096309
2016-01-01 11:15:00,7377000
2016-01-01 11:20:00,9700387
2016-01-01 11:25:00,9937767
2016-01-01 11:30:00,8757995
2016-01-01 11:35:00,8571439
2016-01-01 11:40:00,8913448
2016-01-01 11:45:00,8594441
2016-01-01 11:50:00,7732246
2016-01-01 11:55:00,8482453
2016-01-01 12:00:00,8916244
2016-01-01 12:05:00,8339432
2016-01-01 12:10:00,10888844
2016-01-01 12:15:00,12163532
2016-01-01 12:20:00,13462993
2016-01-01 12:25:00,12706206
2016-01-01 12:30:00,10347338
2016-01-01 12:35:00,10887695
2016-01-01 12:40:00,10357005
2016-01-01 12:45:00,11380389
2016-01-01 12:50:00,11125365
2016-01-01 12:55:00,11133848
2016-01-01 13:00:00,12843245
2016-01-01 13:05:00,13577125
2016-01-01 13:10:00,10331329
2016-01-01 13:15:00,10538094
2016-01-01 13:20:00,8124856
2016-01-01 13:25:00,9409314
